town,date,variable,value,townVariable
israel,2020-02-21,resMA7,0.2857142857142857,israel resMA7
center,2020-02-21,resMA7,0.2857142857142857,center resMA7
hasharon,2020-02-21,resMA7,0,hasharon resMA7
petach tikva,2020-02-21,resMA7,0.14285714285714285,petach tikva resMA7
ramla,2020-02-21,resMA7,0.14285714285714285,ramla resMA7
rehovot,2020-02-21,resMA7,0.2857142857142857,rehovot resMA7
haifa-district,2020-02-21,resMA7,0,haifa-district resMA7
hadera,2020-02-21,resMA7,0,hadera resMA7
haifa,2020-02-21,resMA7,0,haifa resMA7
jerusalem,2020-02-21,resMA7,0.14285714285714285,jerusalem resMA7
north,2020-02-21,resMA7,-0.14285714285714285,north resMA7
akko,2020-02-21,resMA7,-0.2857142857142857,akko resMA7
kinneret,2020-02-21,resMA7,0,kinneret resMA7
yizrael,2020-02-21,resMA7,0.2857142857142857,yizrael resMA7
south,2020-02-21,resMA7,0.7142857142857142,south resMA7
ashkelon,2020-02-21,resMA7,1.1428571428571428,ashkelon resMA7
be'er-sheva,2020-02-21,resMA7,0.14285714285714285,be'er-sheva resMA7
tlv,2020-02-21,resMA7,0.14285714285714285,tlv resMA7
israel,2020-02-22,resMA7,0.42857142857142855,israel resMA7
center,2020-02-22,resMA7,0.2857142857142857,center resMA7
hasharon,2020-02-22,resMA7,0,hasharon resMA7
petach tikva,2020-02-22,resMA7,0.14285714285714285,petach tikva resMA7
ramla,2020-02-22,resMA7,0.14285714285714285,ramla resMA7
rehovot,2020-02-22,resMA7,0.2857142857142857,rehovot resMA7
haifa-district,2020-02-22,resMA7,0.14285714285714285,haifa-district resMA7
hadera,2020-02-22,resMA7,0.14285714285714285,hadera resMA7
haifa,2020-02-22,resMA7,0.14285714285714285,haifa resMA7
jerusalem,2020-02-22,resMA7,0.42857142857142855,jerusalem resMA7
north,2020-02-22,resMA7,0,north resMA7
akko,2020-02-22,resMA7,-0.14285714285714285,akko resMA7
kinneret,2020-02-22,resMA7,0,kinneret resMA7
yizrael,2020-02-22,resMA7,0.42857142857142855,yizrael resMA7
south,2020-02-22,resMA7,1.2857142857142856,south resMA7
ashkelon,2020-02-22,resMA7,1.714285714285714,ashkelon resMA7
be'er-sheva,2020-02-22,resMA7,0.7142857142857142,be'er-sheva resMA7
tlv,2020-02-22,resMA7,0.14285714285714285,tlv resMA7
israel,2020-02-23,resMA7,0.14285714285714285,israel resMA7
center,2020-02-23,resMA7,0,center resMA7
hasharon,2020-02-23,resMA7,-0.2857142857142857,hasharon resMA7
petach tikva,2020-02-23,resMA7,0,petach tikva resMA7
ramla,2020-02-23,resMA7,0,ramla resMA7
rehovot,2020-02-23,resMA7,0,rehovot resMA7
haifa-district,2020-02-23,resMA7,0,haifa-district resMA7
hadera,2020-02-23,resMA7,-0.14285714285714285,hadera resMA7
haifa,2020-02-23,resMA7,0,haifa resMA7
jerusalem,2020-02-23,resMA7,0.14285714285714285,jerusalem resMA7
north,2020-02-23,resMA7,-0.14285714285714285,north resMA7
akko,2020-02-23,resMA7,-0.14285714285714285,akko resMA7
kinneret,2020-02-23,resMA7,-0.14285714285714285,kinneret resMA7
yizrael,2020-02-23,resMA7,0.2857142857142857,yizrael resMA7
south,2020-02-23,resMA7,0.8571428571428572,south resMA7
ashkelon,2020-02-23,resMA7,1.2857142857142856,ashkelon resMA7
be'er-sheva,2020-02-23,resMA7,0.42857142857142855,be'er-sheva resMA7
tlv,2020-02-23,resMA7,0,tlv resMA7
israel,2020-02-24,resMA7,0,israel resMA7
center,2020-02-24,resMA7,0,center resMA7
hasharon,2020-02-24,resMA7,-0.42857142857142855,hasharon resMA7
petach tikva,2020-02-24,resMA7,-0.14285714285714285,petach tikva resMA7
ramla,2020-02-24,resMA7,0,ramla resMA7
rehovot,2020-02-24,resMA7,0,rehovot resMA7
haifa-district,2020-02-24,resMA7,-0.14285714285714285,haifa-district resMA7
hadera,2020-02-24,resMA7,-0.14285714285714285,hadera resMA7
haifa,2020-02-24,resMA7,0,haifa resMA7
jerusalem,2020-02-24,resMA7,0,jerusalem resMA7
north,2020-02-24,resMA7,-0.14285714285714285,north resMA7
akko,2020-02-24,resMA7,-0.14285714285714285,akko resMA7
kinneret,2020-02-24,resMA7,-0.2857142857142857,kinneret resMA7
yizrael,2020-02-24,resMA7,0.14285714285714285,yizrael resMA7
south,2020-02-24,resMA7,0.8571428571428572,south resMA7
ashkelon,2020-02-24,resMA7,1.2857142857142856,ashkelon resMA7
be'er-sheva,2020-02-24,resMA7,0.42857142857142855,be'er-sheva resMA7
tlv,2020-02-24,resMA7,0,tlv resMA7
israel,2020-02-25,resMA7,-0.14285714285714285,israel resMA7
center,2020-02-25,resMA7,0,center resMA7
hasharon,2020-02-25,resMA7,-0.5714285714285714,hasharon resMA7
petach tikva,2020-02-25,resMA7,-0.14285714285714285,petach tikva resMA7
ramla,2020-02-25,resMA7,0,ramla resMA7
rehovot,2020-02-25,resMA7,0,rehovot resMA7
haifa-district,2020-02-25,resMA7,-0.2857142857142857,haifa-district resMA7
hadera,2020-02-25,resMA7,-0.2857142857142857,hadera resMA7
haifa,2020-02-25,resMA7,-0.14285714285714285,haifa resMA7
jerusalem,2020-02-25,resMA7,-0.14285714285714285,jerusalem resMA7
north,2020-02-25,resMA7,-0.42857142857142855,north resMA7
akko,2020-02-25,resMA7,-0.42857142857142855,akko resMA7
kinneret,2020-02-25,resMA7,-0.42857142857142855,kinneret resMA7
yizrael,2020-02-25,resMA7,-0.14285714285714285,yizrael resMA7
south,2020-02-25,resMA7,0.7142857142857142,south resMA7
ashkelon,2020-02-25,resMA7,1.2857142857142856,ashkelon resMA7
be'er-sheva,2020-02-25,resMA7,0.2857142857142857,be'er-sheva resMA7
tlv,2020-02-25,resMA7,0,tlv resMA7
israel,2020-02-26,resMA7,-0.2857142857142857,israel resMA7
center,2020-02-26,resMA7,-0.14285714285714285,center resMA7
hasharon,2020-02-26,resMA7,-0.5714285714285714,hasharon resMA7
petach tikva,2020-02-26,resMA7,-0.2857142857142857,petach tikva resMA7
ramla,2020-02-26,resMA7,-0.14285714285714285,ramla resMA7
rehovot,2020-02-26,resMA7,-0.14285714285714285,rehovot resMA7
haifa-district,2020-02-26,resMA7,-0.2857142857142857,haifa-district resMA7
hadera,2020-02-26,resMA7,-0.42857142857142855,hadera resMA7
haifa,2020-02-26,resMA7,-0.14285714285714285,haifa resMA7
jerusalem,2020-02-26,resMA7,-0.28571428571428564,jerusalem resMA7
north,2020-02-26,resMA7,-0.42857142857142855,north resMA7
akko,2020-02-26,resMA7,-0.42857142857142855,akko resMA7
kinneret,2020-02-26,resMA7,-0.5714285714285714,kinneret resMA7
yizrael,2020-02-26,resMA7,-0.2857142857142857,yizrael resMA7
south,2020-02-26,resMA7,0.5714285714285714,south resMA7
ashkelon,2020-02-26,resMA7,1,ashkelon resMA7
be'er-sheva,2020-02-26,resMA7,0.2857142857142857,be'er-sheva resMA7
tlv,2020-02-26,resMA7,0,tlv resMA7
israel,2020-02-27,resMA7,-0.42857142857142855,israel resMA7
center,2020-02-27,resMA7,-0.2857142857142857,center resMA7
hasharon,2020-02-27,resMA7,-0.7142857142857142,hasharon resMA7
petach tikva,2020-02-27,resMA7,-0.42857142857142855,petach tikva resMA7
ramla,2020-02-27,resMA7,-0.2857142857142857,ramla resMA7
rehovot,2020-02-27,resMA7,-0.2857142857142857,rehovot resMA7
haifa-district,2020-02-27,resMA7,-0.42857142857142855,haifa-district resMA7
hadera,2020-02-27,resMA7,-0.5714285714285714,hadera resMA7
haifa,2020-02-27,resMA7,-0.2857142857142857,haifa resMA7
jerusalem,2020-02-27,resMA7,-0.28571428571428564,jerusalem resMA7
north,2020-02-27,resMA7,-0.5714285714285714,north resMA7
akko,2020-02-27,resMA7,-0.5714285714285714,akko resMA7
kinneret,2020-02-27,resMA7,-0.5714285714285714,kinneret resMA7
yizrael,2020-02-27,resMA7,-0.42857142857142855,yizrael resMA7
south,2020-02-27,resMA7,0.28571428571428575,south resMA7
ashkelon,2020-02-27,resMA7,0.8571428571428571,ashkelon resMA7
be'er-sheva,2020-02-27,resMA7,5.551115123125783e-17,be'er-sheva resMA7
tlv,2020-02-27,resMA7,-0.14285714285714285,tlv resMA7
israel,2020-02-28,resMA7,1.2857142857142856,israel resMA7
center,2020-02-28,resMA7,1.5714285714285716,center resMA7
hasharon,2020-02-28,resMA7,1.1428571428571428,hasharon resMA7
petach tikva,2020-02-28,resMA7,1.5714285714285716,petach tikva resMA7
ramla,2020-02-28,resMA7,1.8571428571428572,ramla resMA7
rehovot,2020-02-28,resMA7,1.7142857142857144,rehovot resMA7
haifa-district,2020-02-28,resMA7,1.4285714285714284,haifa-district resMA7
hadera,2020-02-28,resMA7,1.2857142857142856,hadera resMA7
haifa,2020-02-28,resMA7,1.5714285714285712,haifa resMA7
jerusalem,2020-02-28,resMA7,0.9999999999999999,jerusalem resMA7
north,2020-02-28,resMA7,1.1428571428571428,north resMA7
akko,2020-02-28,resMA7,1.1428571428571428,akko resMA7
kinneret,2020-02-28,resMA7,0.7142857142857142,kinneret resMA7
yizrael,2020-02-28,resMA7,1.2857142857142856,yizrael resMA7
south,2020-02-28,resMA7,1.4285714285714286,south resMA7
ashkelon,2020-02-28,resMA7,2,ashkelon resMA7
be'er-sheva,2020-02-28,resMA7,1.2857142857142858,be'er-sheva resMA7
tlv,2020-02-28,resMA7,1.4285714285714286,tlv resMA7
israel,2020-02-29,resMA7,1.1428571428571428,israel resMA7
center,2020-02-29,resMA7,1.5714285714285716,center resMA7
hasharon,2020-02-29,resMA7,1.1428571428571428,hasharon resMA7
petach tikva,2020-02-29,resMA7,1.5714285714285716,petach tikva resMA7
ramla,2020-02-29,resMA7,1.8571428571428572,ramla resMA7
rehovot,2020-02-29,resMA7,1.7142857142857144,rehovot resMA7
haifa-district,2020-02-29,resMA7,1.2857142857142856,haifa-district resMA7
hadera,2020-02-29,resMA7,1.1428571428571428,hadera resMA7
haifa,2020-02-29,resMA7,1.4285714285714284,haifa resMA7
jerusalem,2020-02-29,resMA7,0.5714285714285714,jerusalem resMA7
north,2020-02-29,resMA7,1,north resMA7
akko,2020-02-29,resMA7,1,akko resMA7
kinneret,2020-02-29,resMA7,0.5714285714285714,kinneret resMA7
yizrael,2020-02-29,resMA7,1.1428571428571428,yizrael resMA7
south,2020-02-29,resMA7,0.8571428571428572,south resMA7
ashkelon,2020-02-29,resMA7,1.5714285714285716,ashkelon resMA7
be'er-sheva,2020-02-29,resMA7,0.7142857142857144,be'er-sheva resMA7
tlv,2020-02-29,resMA7,1.4285714285714286,tlv resMA7
israel,2020-03-01,resMA7,1.1428571428571428,israel resMA7
center,2020-03-01,resMA7,1.5714285714285716,center resMA7
hasharon,2020-03-01,resMA7,1.1428571428571428,hasharon resMA7
petach tikva,2020-03-01,resMA7,1.5714285714285716,petach tikva resMA7
ramla,2020-03-01,resMA7,1.7142857142857144,ramla resMA7
rehovot,2020-03-01,resMA7,1.8571428571428572,rehovot resMA7
haifa-district,2020-03-01,resMA7,1.2857142857142856,haifa-district resMA7
hadera,2020-03-01,resMA7,1.1428571428571428,hadera resMA7
haifa,2020-03-01,resMA7,1.4285714285714284,haifa resMA7
jerusalem,2020-03-01,resMA7,0.5714285714285714,jerusalem resMA7
north,2020-03-01,resMA7,1,north resMA7
akko,2020-03-01,resMA7,1,akko resMA7
kinneret,2020-03-01,resMA7,0.42857142857142844,kinneret resMA7
yizrael,2020-03-01,resMA7,1.1428571428571428,yizrael resMA7
south,2020-03-01,resMA7,0.8571428571428571,south resMA7
ashkelon,2020-03-01,resMA7,1.5714285714285716,ashkelon resMA7
be'er-sheva,2020-03-01,resMA7,0.7142857142857143,be'er-sheva resMA7
tlv,2020-03-01,resMA7,1.4285714285714286,tlv resMA7
israel,2020-03-02,resMA7,1.2857142857142856,israel resMA7
center,2020-03-02,resMA7,1.7142857142857144,center resMA7
hasharon,2020-03-02,resMA7,1.4285714285714284,hasharon resMA7
petach tikva,2020-03-02,resMA7,1.8571428571428572,petach tikva resMA7
ramla,2020-03-02,resMA7,1.8571428571428572,ramla resMA7
rehovot,2020-03-02,resMA7,2,rehovot resMA7
haifa-district,2020-03-02,resMA7,1.4285714285714284,haifa-district resMA7
hadera,2020-03-02,resMA7,1.2857142857142856,hadera resMA7
haifa,2020-03-02,resMA7,1.4285714285714284,haifa resMA7
jerusalem,2020-03-02,resMA7,0.7142857142857143,jerusalem resMA7
north,2020-03-02,resMA7,1.1428571428571428,north resMA7
akko,2020-03-02,resMA7,1.1428571428571428,akko resMA7
kinneret,2020-03-02,resMA7,0.5714285714285713,kinneret resMA7
yizrael,2020-03-02,resMA7,1.2857142857142856,yizrael resMA7
south,2020-03-02,resMA7,0.8571428571428571,south resMA7
ashkelon,2020-03-02,resMA7,1.5714285714285716,ashkelon resMA7
be'er-sheva,2020-03-02,resMA7,0.7142857142857143,be'er-sheva resMA7
tlv,2020-03-02,resMA7,1.5714285714285714,tlv resMA7
israel,2020-03-03,resMA7,1.857142857142857,israel resMA7
center,2020-03-03,resMA7,2.142857142857143,center resMA7
hasharon,2020-03-03,resMA7,2,hasharon resMA7
petach tikva,2020-03-03,resMA7,2.4285714285714284,petach tikva resMA7
ramla,2020-03-03,resMA7,2.2857142857142856,ramla resMA7
rehovot,2020-03-03,resMA7,2.4285714285714284,rehovot resMA7
haifa-district,2020-03-03,resMA7,1.9999999999999998,haifa-district resMA7
hadera,2020-03-03,resMA7,1.857142857142857,hadera resMA7
haifa,2020-03-03,resMA7,1.9999999999999998,haifa resMA7
jerusalem,2020-03-03,resMA7,1.2857142857142856,jerusalem resMA7
north,2020-03-03,resMA7,1.7142857142857142,north resMA7
akko,2020-03-03,resMA7,1.857142857142857,akko resMA7
kinneret,2020-03-03,resMA7,1.1428571428571428,kinneret resMA7
yizrael,2020-03-03,resMA7,1.9999999999999998,yizrael resMA7
south,2020-03-03,resMA7,1.4285714285714286,south resMA7
ashkelon,2020-03-03,resMA7,2,ashkelon resMA7
be'er-sheva,2020-03-03,resMA7,1.2857142857142858,be'er-sheva resMA7
tlv,2020-03-03,resMA7,2.142857142857143,tlv resMA7
israel,2020-03-04,resMA7,1.857142857142857,israel resMA7
center,2020-03-04,resMA7,2.2857142857142856,center resMA7
hasharon,2020-03-04,resMA7,2,hasharon resMA7
petach tikva,2020-03-04,resMA7,2.5714285714285716,petach tikva resMA7
ramla,2020-03-04,resMA7,2.4285714285714284,ramla resMA7
rehovot,2020-03-04,resMA7,2.5714285714285716,rehovot resMA7
haifa-district,2020-03-04,resMA7,2,haifa-district resMA7
hadera,2020-03-04,resMA7,2,hadera resMA7
haifa,2020-03-04,resMA7,1.857142857142857,haifa resMA7
jerusalem,2020-03-04,resMA7,1.5714285714285712,jerusalem resMA7
north,2020-03-04,resMA7,1.7142857142857142,north resMA7
akko,2020-03-04,resMA7,1.7142857142857142,akko resMA7
kinneret,2020-03-04,resMA7,1.2857142857142856,kinneret resMA7
tzfat,2020-03-04,resMA7,1.7142857142857142,tzfat resMA7
yizrael,2020-03-04,resMA7,2,yizrael resMA7
south,2020-03-04,resMA7,1.5714285714285714,south resMA7
ashkelon,2020-03-04,resMA7,2.142857142857143,ashkelon resMA7
be'er-sheva,2020-03-04,resMA7,1.4285714285714286,be'er-sheva resMA7
tlv,2020-03-04,resMA7,2.2857142857142856,tlv resMA7
israel,2020-03-05,resMA7,2.142857142857143,israel resMA7
center,2020-03-05,resMA7,2.571428571428571,center resMA7
hasharon,2020-03-05,resMA7,2.2857142857142856,hasharon resMA7
petach tikva,2020-03-05,resMA7,2.8571428571428568,petach tikva resMA7
ramla,2020-03-05,resMA7,2.8571428571428568,ramla resMA7
rehovot,2020-03-05,resMA7,3,rehovot resMA7
haifa-district,2020-03-05,resMA7,2.2857142857142856,haifa-district resMA7
hadera,2020-03-05,resMA7,2.2857142857142856,hadera resMA7
haifa,2020-03-05,resMA7,2.142857142857143,haifa resMA7
jerusalem,2020-03-05,resMA7,1.857142857142857,jerusalem resMA7
north,2020-03-05,resMA7,2,north resMA7
akko,2020-03-05,resMA7,2,akko resMA7
kinneret,2020-03-05,resMA7,1.4285714285714284,kinneret resMA7
tzfat,2020-03-05,resMA7,1.9999999999999998,tzfat resMA7
yizrael,2020-03-05,resMA7,2.142857142857143,yizrael resMA7
south,2020-03-05,resMA7,1.857142857142857,south resMA7
ashkelon,2020-03-05,resMA7,2.4285714285714284,ashkelon resMA7
be'er-sheva,2020-03-05,resMA7,1.7142857142857142,be'er-sheva resMA7
tlv,2020-03-05,resMA7,2.7142857142857144,tlv resMA7
israel,2020-03-06,resMA7,1,israel resMA7
center,2020-03-06,resMA7,1.2857142857142856,center resMA7
hasharon,2020-03-06,resMA7,1.1428571428571428,hasharon resMA7
petach tikva,2020-03-06,resMA7,1.7142857142857142,petach tikva resMA7
ramla,2020-03-06,resMA7,1.5714285714285712,ramla resMA7
rehovot,2020-03-06,resMA7,1.714285714285714,rehovot resMA7
haifa-district,2020-03-06,resMA7,1,haifa-district resMA7
hadera,2020-03-06,resMA7,1,hadera resMA7
haifa,2020-03-06,resMA7,0.857142857142857,haifa resMA7
jerusalem,2020-03-06,resMA7,1.4285714285714284,jerusalem resMA7
north,2020-03-06,resMA7,0.7142857142857142,north resMA7
akko,2020-03-06,resMA7,0.7142857142857142,akko resMA7
kinneret,2020-03-06,resMA7,0.5714285714285714,kinneret resMA7
tzfat,2020-03-06,resMA7,1.2857142857142856,tzfat resMA7
yizrael,2020-03-06,resMA7,0.7142857142857142,yizrael resMA7
south,2020-03-06,resMA7,0.8571428571428572,south resMA7
ashkelon,2020-03-06,resMA7,1.1428571428571428,ashkelon resMA7
be'er-sheva,2020-03-06,resMA7,0.7142857142857142,be'er-sheva resMA7
tlv,2020-03-06,resMA7,1.7142857142857142,tlv resMA7
israel,2020-03-07,resMA7,2.142857142857143,israel resMA7
center,2020-03-07,resMA7,2.7142857142857135,center resMA7
hasharon,2020-03-07,resMA7,2.2857142857142856,hasharon resMA7
petach tikva,2020-03-07,resMA7,3.1428571428571423,petach tikva resMA7
ramla,2020-03-07,resMA7,2.9999999999999996,ramla resMA7
rehovot,2020-03-07,resMA7,3.1428571428571423,rehovot resMA7
haifa-district,2020-03-07,resMA7,1.8571428571428568,haifa-district resMA7
hadera,2020-03-07,resMA7,1.8571428571428568,hadera resMA7
haifa,2020-03-07,resMA7,1.8571428571428572,haifa resMA7
jerusalem,2020-03-07,resMA7,2.714285714285714,jerusalem resMA7
north,2020-03-07,resMA7,1.4285714285714284,north resMA7
akko,2020-03-07,resMA7,1.2857142857142856,akko resMA7
kinneret,2020-03-07,resMA7,1.5714285714285712,kinneret resMA7
tzfat,2020-03-07,resMA7,2.2857142857142856,tzfat resMA7
yizrael,2020-03-07,resMA7,1.4285714285714284,yizrael resMA7
south,2020-03-07,resMA7,2.142857142857143,south resMA7
ashkelon,2020-03-07,resMA7,2.4285714285714284,ashkelon resMA7
be'er-sheva,2020-03-07,resMA7,2,be'er-sheva resMA7
tlv,2020-03-07,resMA7,2.8571428571428568,tlv resMA7
israel,2020-03-08,resMA7,2.9999999999999996,israel resMA7
center,2020-03-08,resMA7,3.714285714285714,center resMA7
hasharon,2020-03-08,resMA7,3.1428571428571423,hasharon resMA7
petach tikva,2020-03-08,resMA7,4.142857142857142,petach tikva resMA7
ramla,2020-03-08,resMA7,4.142857142857142,ramla resMA7
rehovot,2020-03-08,resMA7,3.9999999999999996,rehovot resMA7
haifa-district,2020-03-08,resMA7,2.571428571428571,haifa-district resMA7
hadera,2020-03-08,resMA7,2.571428571428571,hadera resMA7
haifa,2020-03-08,resMA7,2.714285714285714,haifa resMA7
jerusalem,2020-03-08,resMA7,4.142857142857142,jerusalem resMA7
north,2020-03-08,resMA7,1.9999999999999998,north resMA7
akko,2020-03-08,resMA7,1.714285714285714,akko resMA7
kinneret,2020-03-08,resMA7,2.4285714285714284,kinneret resMA7
tzfat,2020-03-08,resMA7,2.8571428571428568,tzfat resMA7
yizrael,2020-03-08,resMA7,2,yizrael resMA7
south,2020-03-08,resMA7,2.9999999999999996,south resMA7
ashkelon,2020-03-08,resMA7,3.285714285714285,ashkelon resMA7
be'er-sheva,2020-03-08,resMA7,2.8571428571428568,be'er-sheva resMA7
tlv,2020-03-08,resMA7,3.714285714285714,tlv resMA7
israel,2020-03-09,resMA7,3.8571428571428563,israel resMA7
center,2020-03-09,resMA7,4.428571428571428,center resMA7
hasharon,2020-03-09,resMA7,3.8571428571428563,hasharon resMA7
petach tikva,2020-03-09,resMA7,4.857142857142858,petach tikva resMA7
ramla,2020-03-09,resMA7,4.857142857142857,ramla resMA7
rehovot,2020-03-09,resMA7,4.714285714285714,rehovot resMA7
haifa-district,2020-03-09,resMA7,3.2857142857142856,haifa-district resMA7
hadera,2020-03-09,resMA7,3.2857142857142856,hadera resMA7
haifa,2020-03-09,resMA7,3.4285714285714284,haifa resMA7
jerusalem,2020-03-09,resMA7,5.142857142857143,jerusalem resMA7
north,2020-03-09,resMA7,2.571428571428571,north resMA7
akko,2020-03-09,resMA7,2.142857142857143,akko resMA7
kinneret,2020-03-09,resMA7,3.142857142857143,kinneret resMA7
tzfat,2020-03-09,resMA7,3.428571428571428,tzfat resMA7
yizrael,2020-03-09,resMA7,2.571428571428571,yizrael resMA7
south,2020-03-09,resMA7,3.8571428571428563,south resMA7
ashkelon,2020-03-09,resMA7,3.999999999999999,ashkelon resMA7
be'er-sheva,2020-03-09,resMA7,3.714285714285714,be'er-sheva resMA7
tlv,2020-03-09,resMA7,4.571428571428572,tlv resMA7
israel,2020-03-10,resMA7,4.714285714285714,israel resMA7
center,2020-03-10,resMA7,5.42857142857143,center resMA7
hasharon,2020-03-10,resMA7,4.714285714285714,hasharon resMA7
petach tikva,2020-03-10,resMA7,5.714285714285714,petach tikva resMA7
ramla,2020-03-10,resMA7,5.714285714285714,ramla resMA7
rehovot,2020-03-10,resMA7,5.857142857142857,rehovot resMA7
haifa-district,2020-03-10,resMA7,4.142857142857142,haifa-district resMA7
hadera,2020-03-10,resMA7,4,hadera resMA7
haifa,2020-03-10,resMA7,4.285714285714286,haifa resMA7
jerusalem,2020-03-10,resMA7,5.857142857142858,jerusalem resMA7
north,2020-03-10,resMA7,3.285714285714285,north resMA7
akko,2020-03-10,resMA7,2.7142857142857135,akko resMA7
kinneret,2020-03-10,resMA7,3.714285714285714,kinneret resMA7
tzfat,2020-03-10,resMA7,3.8571428571428568,tzfat resMA7
yizrael,2020-03-10,resMA7,3.2857142857142856,yizrael resMA7
south,2020-03-10,resMA7,4.857142857142857,south resMA7
ashkelon,2020-03-10,resMA7,4.857142857142857,ashkelon resMA7
be'er-sheva,2020-03-10,resMA7,4.714285714285714,be'er-sheva resMA7
tlv,2020-03-10,resMA7,5.571428571428572,tlv resMA7
israel,2020-03-11,resMA7,5.571428571428571,israel resMA7
center,2020-03-11,resMA7,6.2857142857142865,center resMA7
hasharon,2020-03-11,resMA7,5.571428571428571,hasharon resMA7
petach tikva,2020-03-11,resMA7,6.571428571428571,petach tikva resMA7
ramla,2020-03-11,resMA7,6.571428571428571,ramla resMA7
rehovot,2020-03-11,resMA7,6.7142857142857135,rehovot resMA7
haifa-district,2020-03-11,resMA7,4.857142857142857,haifa-district resMA7
hadera,2020-03-11,resMA7,4.714285714285714,hadera resMA7
haifa,2020-03-11,resMA7,5.142857142857143,haifa resMA7
jerusalem,2020-03-11,resMA7,6.714285714285714,jerusalem resMA7
north,2020-03-11,resMA7,3.857142857142856,north resMA7
akko,2020-03-11,resMA7,3.428571428571428,akko resMA7
kinneret,2020-03-11,resMA7,4.285714285714286,kinneret resMA7
yizrael,2020-03-11,resMA7,3.9999999999999996,yizrael resMA7
south,2020-03-11,resMA7,5.571428571428571,south resMA7
ashkelon,2020-03-11,resMA7,5.571428571428571,ashkelon resMA7
be'er-sheva,2020-03-11,resMA7,5.428571428571428,be'er-sheva resMA7
tlv,2020-03-11,resMA7,6.571428571428571,tlv resMA7
israel,2020-03-12,resMA7,7.57142857142857,israel resMA7
center,2020-03-12,resMA7,8.57142857142857,center resMA7
