town,date,variable,value,townVariable
אזור צפון,2020-02-28,resMA7,1.1428571428571428,אזור צפון resMA7
עכו,2020-02-28,resMA7,1.1428571428571428,עכו resMA7
טבריה,2020-02-28,resMA7,0.7142857142857142,טבריה resMA7
עפולה,2020-02-28,resMA7,1.2857142857142856,עפולה resMA7
אזור דרום,2020-02-28,resMA7,1.4285714285714286,אזור דרום resMA7
אשקלון,2020-02-28,resMA7,2,אשקלון resMA7
באר שבע,2020-02-28,resMA7,1.2857142857142858,באר שבע resMA7
תל אביב-יפו,2020-02-28,resMA7,1.4285714285714286,תל אביב-יפו resMA7
ישראל,2020-02-29,resMA7,1.1428571428571428,ישראל resMA7
אזור מרכז,2020-02-29,resMA7,1.5714285714285716,אזור מרכז resMA7
נתניה,2020-02-29,resMA7,1.1428571428571428,נתניה resMA7
פתח תקווה,2020-02-29,resMA7,1.5714285714285716,פתח תקווה resMA7
רמלה,2020-02-29,resMA7,1.8571428571428572,רמלה resMA7
רחובות,2020-02-29,resMA7,1.7142857142857144,רחובות resMA7
אזור חיפה,2020-02-29,resMA7,1.2857142857142856,אזור חיפה resMA7
חדרה,2020-02-29,resMA7,1.1428571428571428,חדרה resMA7
חיפה,2020-02-29,resMA7,1.4285714285714284,חיפה resMA7
ירושלים,2020-02-29,resMA7,0.5714285714285714,ירושלים resMA7
אזור צפון,2020-02-29,resMA7,1,אזור צפון resMA7
עכו,2020-02-29,resMA7,1,עכו resMA7
טבריה,2020-02-29,resMA7,0.5714285714285714,טבריה resMA7
עפולה,2020-02-29,resMA7,1.1428571428571428,עפולה resMA7
אזור דרום,2020-02-29,resMA7,0.8571428571428572,אזור דרום resMA7
אשקלון,2020-02-29,resMA7,1.5714285714285716,אשקלון resMA7
באר שבע,2020-02-29,resMA7,0.7142857142857144,באר שבע resMA7
תל אביב-יפו,2020-02-29,resMA7,1.4285714285714286,תל אביב-יפו resMA7
ישראל,2020-03-01,resMA7,1.1428571428571428,ישראל resMA7
אזור מרכז,2020-03-01,resMA7,1.5714285714285716,אזור מרכז resMA7
נתניה,2020-03-01,resMA7,1.1428571428571428,נתניה resMA7
פתח תקווה,2020-03-01,resMA7,1.5714285714285716,פתח תקווה resMA7
רמלה,2020-03-01,resMA7,1.7142857142857144,רמלה resMA7
רחובות,2020-03-01,resMA7,1.8571428571428572,רחובות resMA7
אזור חיפה,2020-03-01,resMA7,1.2857142857142856,אזור חיפה resMA7
חדרה,2020-03-01,resMA7,1.1428571428571428,חדרה resMA7
חיפה,2020-03-01,resMA7,1.4285714285714284,חיפה resMA7
ירושלים,2020-03-01,resMA7,0.5714285714285714,ירושלים resMA7
אזור צפון,2020-03-01,resMA7,1,אזור צפון resMA7
עכו,2020-03-01,resMA7,1,עכו resMA7
טבריה,2020-03-01,resMA7,0.42857142857142844,טבריה resMA7
עפולה,2020-03-01,resMA7,1.1428571428571428,עפולה resMA7
אזור דרום,2020-03-01,resMA7,0.8571428571428571,אזור דרום resMA7
אשקלון,2020-03-01,resMA7,1.5714285714285716,אשקלון resMA7
באר שבע,2020-03-01,resMA7,0.7142857142857143,באר שבע resMA7
תל אביב-יפו,2020-03-01,resMA7,1.4285714285714286,תל אביב-יפו resMA7
ישראל,2020-03-02,resMA7,1.2857142857142856,ישראל resMA7
אזור מרכז,2020-03-02,resMA7,1.7142857142857144,אזור מרכז resMA7
נתניה,2020-03-02,resMA7,1.4285714285714284,נתניה resMA7
פתח תקווה,2020-03-02,resMA7,1.8571428571428572,פתח תקווה resMA7
רמלה,2020-03-02,resMA7,1.8571428571428572,רמלה resMA7
רחובות,2020-03-02,resMA7,2,רחובות resMA7
אזור חיפה,2020-03-02,resMA7,1.4285714285714284,אזור חיפה resMA7
חדרה,2020-03-02,resMA7,1.2857142857142856,חדרה resMA7
חיפה,2020-03-02,resMA7,1.4285714285714284,חיפה resMA7
ירושלים,2020-03-02,resMA7,0.7142857142857143,ירושלים resMA7
אזור צפון,2020-03-02,resMA7,1.1428571428571428,אזור צפון resMA7
עכו,2020-03-02,resMA7,1.1428571428571428,עכו resMA7
טבריה,2020-03-02,resMA7,0.5714285714285713,טבריה resMA7
עפולה,2020-03-02,resMA7,1.2857142857142856,עפולה resMA7
אזור דרום,2020-03-02,resMA7,0.8571428571428571,אזור דרום resMA7
אשקלון,2020-03-02,resMA7,1.5714285714285716,אשקלון resMA7
באר שבע,2020-03-02,resMA7,0.7142857142857143,באר שבע resMA7
תל אביב-יפו,2020-03-02,resMA7,1.5714285714285714,תל אביב-יפו resMA7
ישראל,2020-03-03,resMA7,1.857142857142857,ישראל resMA7
אזור מרכז,2020-03-03,resMA7,2.142857142857143,אזור מרכז resMA7
נתניה,2020-03-03,resMA7,2,נתניה resMA7
פתח תקווה,2020-03-03,resMA7,2.4285714285714284,פתח תקווה resMA7
רמלה,2020-03-03,resMA7,2.2857142857142856,רמלה resMA7
רחובות,2020-03-03,resMA7,2.4285714285714284,רחובות resMA7
אזור חיפה,2020-03-03,resMA7,1.9999999999999998,אזור חיפה resMA7
חדרה,2020-03-03,resMA7,1.857142857142857,חדרה resMA7
חיפה,2020-03-03,resMA7,1.9999999999999998,חיפה resMA7
ירושלים,2020-03-03,resMA7,1.2857142857142856,ירושלים resMA7
אזור צפון,2020-03-03,resMA7,1.7142857142857142,אזור צפון resMA7
עכו,2020-03-03,resMA7,1.857142857142857,עכו resMA7
טבריה,2020-03-03,resMA7,1.1428571428571428,טבריה resMA7
עפולה,2020-03-03,resMA7,1.9999999999999998,עפולה resMA7
אזור דרום,2020-03-03,resMA7,1.4285714285714286,אזור דרום resMA7
אשקלון,2020-03-03,resMA7,2,אשקלון resMA7
באר שבע,2020-03-03,resMA7,1.2857142857142858,באר שבע resMA7
תל אביב-יפו,2020-03-03,resMA7,2.142857142857143,תל אביב-יפו resMA7
ישראל,2020-03-04,resMA7,1.857142857142857,ישראל resMA7
אזור מרכז,2020-03-04,resMA7,2.2857142857142856,אזור מרכז resMA7
נתניה,2020-03-04,resMA7,2,נתניה resMA7
פתח תקווה,2020-03-04,resMA7,2.5714285714285716,פתח תקווה resMA7
רמלה,2020-03-04,resMA7,2.4285714285714284,רמלה resMA7
רחובות,2020-03-04,resMA7,2.5714285714285716,רחובות resMA7
אזור חיפה,2020-03-04,resMA7,2,אזור חיפה resMA7
חדרה,2020-03-04,resMA7,2,חדרה resMA7
חיפה,2020-03-04,resMA7,1.857142857142857,חיפה resMA7
ירושלים,2020-03-04,resMA7,1.5714285714285712,ירושלים resMA7
אזור צפון,2020-03-04,resMA7,1.7142857142857142,אזור צפון resMA7
עכו,2020-03-04,resMA7,1.7142857142857142,עכו resMA7
טבריה,2020-03-04,resMA7,1.2857142857142856,טבריה resMA7
צפת,2020-03-04,resMA7,1.7142857142857142,צפת resMA7
עפולה,2020-03-04,resMA7,2,עפולה resMA7
אזור דרום,2020-03-04,resMA7,1.5714285714285714,אזור דרום resMA7
אשקלון,2020-03-04,resMA7,2.142857142857143,אשקלון resMA7
באר שבע,2020-03-04,resMA7,1.4285714285714286,באר שבע resMA7
תל אביב-יפו,2020-03-04,resMA7,2.2857142857142856,תל אביב-יפו resMA7
ישראל,2020-03-05,resMA7,2.142857142857143,ישראל resMA7
אזור מרכז,2020-03-05,resMA7,2.571428571428571,אזור מרכז resMA7
נתניה,2020-03-05,resMA7,2.2857142857142856,נתניה resMA7
פתח תקווה,2020-03-05,resMA7,2.8571428571428568,פתח תקווה resMA7
רמלה,2020-03-05,resMA7,2.8571428571428568,רמלה resMA7
רחובות,2020-03-05,resMA7,3,רחובות resMA7
אזור חיפה,2020-03-05,resMA7,2.2857142857142856,אזור חיפה resMA7
חדרה,2020-03-05,resMA7,2.2857142857142856,חדרה resMA7
חיפה,2020-03-05,resMA7,2.142857142857143,חיפה resMA7
ירושלים,2020-03-05,resMA7,1.857142857142857,ירושלים resMA7
אזור צפון,2020-03-05,resMA7,2,אזור צפון resMA7
עכו,2020-03-05,resMA7,2,עכו resMA7
טבריה,2020-03-05,resMA7,1.4285714285714284,טבריה resMA7
צפת,2020-03-05,resMA7,1.9999999999999998,צפת resMA7
עפולה,2020-03-05,resMA7,2.142857142857143,עפולה resMA7
אזור דרום,2020-03-05,resMA7,1.857142857142857,אזור דרום resMA7
אשקלון,2020-03-05,resMA7,2.4285714285714284,אשקלון resMA7
באר שבע,2020-03-05,resMA7,1.7142857142857142,באר שבע resMA7
תל אביב-יפו,2020-03-05,resMA7,2.7142857142857144,תל אביב-יפו resMA7
ישראל,2020-03-06,resMA7,1,ישראל resMA7
אזור מרכז,2020-03-06,resMA7,1.2857142857142856,אזור מרכז resMA7
נתניה,2020-03-06,resMA7,1.1428571428571428,נתניה resMA7
פתח תקווה,2020-03-06,resMA7,1.7142857142857142,פתח תקווה resMA7
רמלה,2020-03-06,resMA7,1.5714285714285712,רמלה resMA7
רחובות,2020-03-06,resMA7,1.714285714285714,רחובות resMA7
אזור חיפה,2020-03-06,resMA7,1,אזור חיפה resMA7
חדרה,2020-03-06,resMA7,1,חדרה resMA7
חיפה,2020-03-06,resMA7,0.857142857142857,חיפה resMA7
ירושלים,2020-03-06,resMA7,1.4285714285714284,ירושלים resMA7
אזור צפון,2020-03-06,resMA7,0.7142857142857142,אזור צפון resMA7
עכו,2020-03-06,resMA7,0.7142857142857142,עכו resMA7
טבריה,2020-03-06,resMA7,0.5714285714285714,טבריה resMA7
צפת,2020-03-06,resMA7,1.2857142857142856,צפת resMA7
עפולה,2020-03-06,resMA7,0.7142857142857142,עפולה resMA7
אזור דרום,2020-03-06,resMA7,0.8571428571428572,אזור דרום resMA7
אשקלון,2020-03-06,resMA7,1.1428571428571428,אשקלון resMA7
באר שבע,2020-03-06,resMA7,0.7142857142857142,באר שבע resMA7
תל אביב-יפו,2020-03-06,resMA7,1.7142857142857142,תל אביב-יפו resMA7
ישראל,2020-03-07,resMA7,2.142857142857143,ישראל resMA7
אזור מרכז,2020-03-07,resMA7,2.7142857142857135,אזור מרכז resMA7
נתניה,2020-03-07,resMA7,2.2857142857142856,נתניה resMA7
פתח תקווה,2020-03-07,resMA7,3.1428571428571423,פתח תקווה resMA7
רמלה,2020-03-07,resMA7,2.9999999999999996,רמלה resMA7
רחובות,2020-03-07,resMA7,3.1428571428571423,רחובות resMA7
אזור חיפה,2020-03-07,resMA7,1.8571428571428568,אזור חיפה resMA7
חדרה,2020-03-07,resMA7,1.8571428571428568,חדרה resMA7
חיפה,2020-03-07,resMA7,1.8571428571428572,חיפה resMA7
ירושלים,2020-03-07,resMA7,2.714285714285714,ירושלים resMA7
אזור צפון,2020-03-07,resMA7,1.4285714285714284,אזור צפון resMA7
עכו,2020-03-07,resMA7,1.2857142857142856,עכו resMA7
טבריה,2020-03-07,resMA7,1.5714285714285712,טבריה resMA7
צפת,2020-03-07,resMA7,2.2857142857142856,צפת resMA7
עפולה,2020-03-07,resMA7,1.4285714285714284,עפולה resMA7
אזור דרום,2020-03-07,resMA7,2.142857142857143,אזור דרום resMA7
אשקלון,2020-03-07,resMA7,2.4285714285714284,אשקלון resMA7
באר שבע,2020-03-07,resMA7,2,באר שבע resMA7
תל אביב-יפו,2020-03-07,resMA7,2.8571428571428568,תל אביב-יפו resMA7
ישראל,2020-03-08,resMA7,2.9999999999999996,ישראל resMA7
אזור מרכז,2020-03-08,resMA7,3.714285714285714,אזור מרכז resMA7
נתניה,2020-03-08,resMA7,3.1428571428571423,נתניה resMA7
פתח תקווה,2020-03-08,resMA7,4.142857142857142,פתח תקווה resMA7
רמלה,2020-03-08,resMA7,4.142857142857142,רמלה resMA7
רחובות,2020-03-08,resMA7,3.9999999999999996,רחובות resMA7
אזור חיפה,2020-03-08,resMA7,2.571428571428571,אזור חיפה resMA7
חדרה,2020-03-08,resMA7,2.571428571428571,חדרה resMA7
חיפה,2020-03-08,resMA7,2.714285714285714,חיפה resMA7
ירושלים,2020-03-08,resMA7,4.142857142857142,ירושלים resMA7
אזור צפון,2020-03-08,resMA7,1.9999999999999998,אזור צפון resMA7
עכו,2020-03-08,resMA7,1.714285714285714,עכו resMA7
טבריה,2020-03-08,resMA7,2.4285714285714284,טבריה resMA7
צפת,2020-03-08,resMA7,2.8571428571428568,צפת resMA7
עפולה,2020-03-08,resMA7,2,עפולה resMA7
אזור דרום,2020-03-08,resMA7,2.9999999999999996,אזור דרום resMA7
אשקלון,2020-03-08,resMA7,3.285714285714285,אשקלון resMA7
באר שבע,2020-03-08,resMA7,2.8571428571428568,באר שבע resMA7
תל אביב-יפו,2020-03-08,resMA7,3.714285714285714,תל אביב-יפו resMA7
ישראל,2020-03-09,resMA7,3.8571428571428563,ישראל resMA7
אזור מרכז,2020-03-09,resMA7,4.428571428571428,אזור מרכז resMA7
נתניה,2020-03-09,resMA7,3.8571428571428563,נתניה resMA7
פתח תקווה,2020-03-09,resMA7,4.857142857142858,פתח תקווה resMA7
רמלה,2020-03-09,resMA7,4.857142857142857,רמלה resMA7
רחובות,2020-03-09,resMA7,4.714285714285714,רחובות resMA7
אזור חיפה,2020-03-09,resMA7,3.2857142857142856,אזור חיפה resMA7
חדרה,2020-03-09,resMA7,3.2857142857142856,חדרה resMA7
חיפה,2020-03-09,resMA7,3.4285714285714284,חיפה resMA7
ירושלים,2020-03-09,resMA7,5.142857142857143,ירושלים resMA7
אזור צפון,2020-03-09,resMA7,2.571428571428571,אזור צפון resMA7
עכו,2020-03-09,resMA7,2.142857142857143,עכו resMA7
טבריה,2020-03-09,resMA7,3.142857142857143,טבריה resMA7
צפת,2020-03-09,resMA7,3.428571428571428,צפת resMA7
עפולה,2020-03-09,resMA7,2.571428571428571,עפולה resMA7
אזור דרום,2020-03-09,resMA7,3.8571428571428563,אזור דרום resMA7
אשקלון,2020-03-09,resMA7,3.999999999999999,אשקלון resMA7
באר שבע,2020-03-09,resMA7,3.714285714285714,באר שבע resMA7
תל אביב-יפו,2020-03-09,resMA7,4.571428571428572,תל אביב-יפו resMA7
ישראל,2020-03-10,resMA7,4.714285714285714,ישראל resMA7
